,CountryName,CountryCode,Date,S1_School.closing,S1_IsGeneral,S2_Workplace.closing,S2_IsGeneral,S3_Cancel.public.events,S3_IsGeneral,S4_Close.public.transport,S4_IsGeneral,S5_Public.information.campaigns,S5_IsGeneral,S6_Restrictions.on.internal.movement,S6_IsGeneral,S7_International.travel.controls,S8_Fiscal.measures,S9_Monetary.measures,S10_Emergency.investment.in.health.care,S11_Investment.in.Vaccines,S12_Testing.framework,S13_Contact.tracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,sum
0,Belgium,BEL,20200101,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
1,Belgium,BEL,20200102,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
2,Belgium,BEL,20200103,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3,Belgium,BEL,20200104,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
4,Belgium,BEL,20200105,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
5,Belgium,BEL,20200106,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
6,Belgium,BEL,20200107,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
7,Belgium,BEL,20200108,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
8,Belgium,BEL,20200109,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
9,Belgium,BEL,20200110,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
10,Belgium,BEL,20200111,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
11,Belgium,BEL,20200112,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
12,Belgium,BEL,20200113,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
13,Belgium,BEL,20200114,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
14,Belgium,BEL,20200115,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium,BEL,20200116,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
16,Belgium,BEL,20200117,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
17,Belgium,BEL,20200118,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
18,Belgium,BEL,20200119,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
19,Belgium,BEL,20200120,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
20,Belgium,BEL,20200121,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
21,Belgium,BEL,20200122,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
22,Belgium,BEL,20200123,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
23,Belgium,BEL,20200124,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
24,Belgium,BEL,20200125,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
25,Belgium,BEL,20200126,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
26,Belgium,BEL,20200127,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
27,Belgium,BEL,20200128,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
28,Belgium,BEL,20200129,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
29,Belgium,BEL,20200130,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
30,Belgium,BEL,20200131,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
31,Belgium,BEL,20200201,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
32,Belgium,BEL,20200202,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
33,Belgium,BEL,20200203,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
34,Belgium,BEL,20200204,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,1,0,0,0,0
35,Belgium,BEL,20200205,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,1,0,0,0,0
36,Belgium,BEL,20200206,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
37,Belgium,BEL,20200207,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
38,Belgium,BEL,20200208,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
39,Belgium,BEL,20200209,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
40,Belgium,BEL,20200210,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
41,Belgium,BEL,20200211,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
42,Belgium,BEL,20200212,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
43,Belgium,BEL,20200213,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
44,Belgium,BEL,20200214,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
45,Belgium,BEL,20200215,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
46,Belgium,BEL,20200216,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
47,Belgium,BEL,20200217,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
48,Belgium,BEL,20200218,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
49,Belgium,BEL,20200219,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
50,Belgium,BEL,20200220,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
51,Belgium,BEL,20200221,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
52,Belgium,BEL,20200222,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
53,Belgium,BEL,20200223,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
54,Belgium,BEL,20200224,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
55,Belgium,BEL,20200225,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,1,0,14.29,14.29,1
56,Belgium,BEL,20200226,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,2,1,0,14.29,14.29,3
57,Belgium,BEL,20200227,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,2,1,0,14.29,14.29,3
58,Belgium,BEL,20200228,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,2,1,0,14.29,14.29,3
59,Belgium,BEL,20200229,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,2,1,0,14.29,14.29,3
60,Belgium,BEL,20200301,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,3,2,1,0,14.29,14.29,6
61,Belgium,BEL,20200302,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,3,2,2,0,14.29,14.29,6
62,Belgium,BEL,20200303,0,,0,,0,,0,,1,1,0,,0,0,0,0,0,3,2,8,0,14.29,14.29,6
63,Belgium,BEL,20200304,0,,0,,0,,0,,1,1,0,,1,0,0,0,0,3,2,13,0,19.05,19.05,7
64,Belgium,BEL,20200305,0,,0,,0,,0,,1,1,0,,1,0,0,0,0,3,2,23,0,19.05,19.05,7
65,Belgium,BEL,20200306,0,,0,,0,,0,,1,1,0,,1,0,0,0,0,3,2,50,0,19.05,19.05,7
66,Belgium,BEL,20200307,0,,0,,0,,0,,1,1,0,,1,0,0,0,0,1,2,109,0,19.05,19.05,5
67,Belgium,BEL,20200308,0,,0,,0,,0,,1,1,0,,1,0,0,0,0,1,2,169,0,19.05,19.05,5
68,Belgium,BEL,20200309,0,,0,,0,,0,,1,1,0,,1,0,0,0,0,1,2,200,0,19.05,19.05,5
69,Belgium,BEL,20200310,0,,0,,1,1,0,,1,1,0,,1,0,0,0,0,1,2,239,0,28.57,28.57,6
70,Belgium,BEL,20200311,0,,0,,1,1,0,,1,1,0,,1,0,0,0,0,1,2,267,0,28.57,28.57,6
71,Belgium,BEL,20200312,0,,0,,1,1,0,,1,1,0,,1,0,0,0,0,1,2,314,3,28.57,28.57,6
72,Belgium,BEL,20200313,0,,1,1,1,1,0,,1,1,0,,1,0,0,0,0,1,1,399,3,38.1,38.1,6
73,Belgium,BEL,20200314,2,1,2,1,2,1,0,1,1,1,0,,1,0,0,0,0,1,1,559,3,61.9,61.9,10
74,Belgium,BEL,20200315,2,1,2,1,2,1,0,1,1,1,0,,1,0,0,0,0,1,1,689,4,61.9,61.9,10
75,Belgium,BEL,20200316,2,1,2,1,2,1,0,1,1,1,0,,1,0,0,0,0,1,1,886,4,61.9,61.9,10
76,Belgium,BEL,20200317,2,1,2,1,2,1,0,1,1,1,0,,3,0,0,0,0,1,1,1085,5,71.43,71.43,12
77,Belgium,BEL,20200318,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,1243,5,85.71,85.71,14
78,Belgium,BEL,20200319,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,1486,14,85.71,85.71,14
79,Belgium,BEL,20200320,2,1,2,1,2,1,0,1,1,1,2,1,3,9608192466,0,1076350000,0,1,1,1795,21,85.71,85.71,10684542480
80,Belgium,BEL,20200321,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,2257,37,85.71,85.71,14
81,Belgium,BEL,20200322,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,2815,67,85.71,85.71,14
82,Belgium,BEL,20200323,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,3401,75,85.71,85.71,14
83,Belgium,BEL,20200324,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,3743,88,85.71,85.71,14
84,Belgium,BEL,20200325,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,4269,122,85.71,85.71,14
85,Belgium,BEL,20200326,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,4937,178,85.71,85.71,14
86,Belgium,BEL,20200327,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,6235,220,85.71,85.71,14
87,Belgium,BEL,20200328,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,7284,289,85.71,85.71,14
88,Belgium,BEL,20200329,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,9134,353,85.71,85.71,14
89,Belgium,BEL,20200330,2,1,2,1,2,1,0,1,1,1,2,1,3,0,0,0,0,1,1,10836,431,85.71,85.71,14
90,Belgium,BEL,20200331,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,11899,513,85.71,85.71,14
91,Belgium,BEL,20200401,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,12775,705,85.71,85.71,14
92,Belgium,BEL,20200402,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,13964,828,85.71,85.71,14
93,Belgium,BEL,20200403,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,15348,1011,85.71,85.71,14
94,Belgium,BEL,20200404,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,16770,1143,85.71,85.71,14
95,Belgium,BEL,20200405,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,18431,1283,85.71,85.71,14
96,Belgium,BEL,20200406,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,19691,1447,85.71,85.71,14
97,Belgium,BEL,20200407,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,20814,1632,85.71,85.71,14
98,Belgium,BEL,20200408,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,22194,2035,85.71,85.71,14
99,Belgium,BEL,20200409,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,23403,2240,85.71,85.71,14
100,Belgium,BEL,20200410,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,24983,2523,85.71,85.71,14
101,Belgium,BEL,20200411,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,26667,3019,85.71,85.71,14
102,Belgium,BEL,20200412,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,28018,3346,85.71,85.71,14
103,Belgium,BEL,20200413,2,1,2,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,1,29647,3600,85.71,85.71,14
104,Belgium,BEL,20200414,2,1,,,,,0,,1,1,,,,,,,,,,30589,3903,,85.71,3
105,Belgium,BEL,20200415,2,1,,,,,0,,1,1,,,,,,,,,,31119,4157,,85.71,3
106,Belgium,BEL,20200416,2,1,,,,,0,,1,1,,,,,,,,,,,,,85.71,3
107,Brazil,BRA,20200101,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
108,Brazil,BRA,20200102,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
109,Brazil,BRA,20200103,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
110,Brazil,BRA,20200104,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
111,Brazil,BRA,20200105,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
112,Brazil,BRA,20200106,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
113,Brazil,BRA,20200107,0,,0,,0,,0,,0,,0,,0,0,4.5,0,0,0,0,0,0,0,0,4.5
